You cannot create new settings while a Production CSID is already configured.,لا يمكن إنشاء إعدادات جديدة طالما أن معرف الإنتاج مضاف مسبقًا
Pending Activation,قيد التفعيل
ZATCA integration has been successfully withdrawn.,تم سحب تكامل هيئة الزكاة والضريبة والجمارك بنجاح
Withdrawn Successfully,تم السحب بنجاح
Are you sure you want to withdraw the ZATCA integration? This action is permanent and will require reactivation.,هل أنت متأكد أنك تريد سحب تكامل هيئة الزكاة والضريبة والجمارك؟ هذا الإجراء دائم وسيتطلب إعادة التفعيل.
Withdraw,سحب
Initiate New ZATCA Settings,بدء إعدادات هيئة الزكاة والضريبة والجمارك الجديدة
<p>This will create a new Sales Invoice Additional Fields document for the invoice '{0}' and submit it to ZATCA. <strong>Make sure you have updated any bad configuration that lead to the initial rejection</strong>.</p><p>Do you want to proceed?</p>,<p>سيقوم هذا بإنشاء مستند حقول إضافية جديد للفاتورة '{0}' وإرساله إلى هيئة الزكاة والضريبة والجمارك (ZATCA). <strong>تأكد من أنك حدّثت أي إعداد خاطئ أدى إلى الرفض الأولي</strong>.</p><p>هل تريد المتابعة؟</p>
"<pre style=""display:inline;"">JAVA_HOME</pre> path used for running the CLI. Leave blank to use the default system Java installation","مسار <pre style=""display:inline;"">JAVA_HOME</pre> المستخدم لتشغيل CLI. اتركه فارغًا لاستخدام تثبيت Java الافتراضي في النظام"
Accepted,مقبول
Accepted with warnings,مقبول مع تحذيرات
Active,نشط
Additional Buyer IDs,معرفات إضافية للمشتري
Additional IDs,معرفات إضافية
Additional Number,رقم إضافي
Additional Seller IDs,معرفات إضافية للبائع
Additional Street,شارع إضافي
Additional Street Name,اسم شارع إضافي
Address,العنوان
Administrator,مدير
Allowance Indicator,مؤشر الخصم
Allowance VAT Category Code,رمز فئة ضريبة القيمة المضافة للخصم
Amended From,معدل من
Automatic,تلقائي
Automatic Setup Configuration,إعداد تلقائي للتكوين
Batches,دفعات
Both,كلاهما
Building Number,رقم المبنى
Business Settings,إعدادات العمل
Business Settings ID Reference,مرجع معرف إعدادات العمل
Buyer,المشتري
Buyer Address Details,تفاصيل عنوان المشتري
Buyer ID,معرف المشتري
Buyer VAT Registration Number,رقم تسجيل ضريبة القيمة المضافة للمشتري
CLI,واجهة الأوامر (CLI)
CLI Path,مسار CLI
CLI Setup,إعداد CLI
CSR,طلب توقيع شهادة (CSR)
Charge Indicator,مؤشر الرسوم
Charge VAT Category Code,رمز فئة ضريبة القيمة المضافة للرسوم
Check ZATCA CLI,تحقق من ZATCA CLI
City,مدينة
Clearance switched off,تم إيقاف وضع التخليص
Code for Allowance Reason,رمز سبب الخصم
Company,شركة
Company Address,عنوان الشركة
Company Category,فئة الشركة
Company Unit,وحدة الشركة
Company Unit Serial,الرقم التسلسلي لوحدة الشركة
Compliance API Error,خطأ في واجهة برمجة الامتثال
Compliance Request ID,معرف طلب الامتثال
Configuration,الإعداد
Corrected,مصحح
Could not find signed XML,تعذر العثور على XML موقّع
Country,الدولة
Country Code,رمز الدولة
Currency,العملة
Device ID,معرّف الجهاز
Disabled,معطل
District,الحي
Document Level,مستوى المستند
Documentation,التوثيق
Download XML,تنزيل XML
Download and Set Up ZATCA CLI,تنزيل وإعداد ZATCA CLI
